team_id,team_name,season,bullpen_era,bullpen_whip,bullpen_k9,bullpen_bb9,bullpen_hr9,bullpen_saves,bullpen_blown,bullpen_holds,bullpen_save_pct,bullpen_ip
108,Los Angeles Angels,2026,4.6,1.44,9.0,4.84,0.92,4,8,17,0.333,264.0
109,Arizona Diamondbacks,2026,4.53,1.32,7.64,3.22,1.39,9,6,23,0.6,240.1
110,Baltimore Orioles,2026,4.33,1.39,8.65,3.6,1.19,9,3,17,0.75,249.2
111,Boston Red Sox,2026,4.23,1.3,8.32,3.35,1.37,5,4,14,0.556,255.1
112,Chicago Cubs,2026,4.05,1.22,8.13,3.1,1.15,5,5,4,0.5,258.0
113,Cincinnati Reds,2026,3.77,1.4,7.65,4.52,1.0,10,5,21,0.667,253.0
114,Cleveland Guardians,2026,4.03,1.25,9.5,3.52,1.26,8,4,20,0.667,263.1
115,Colorado Rockies,2026,4.07,1.37,7.93,3.23,1.26,10,3,15,0.769,256.1
116,Detroit Tigers,2026,3.95,1.34,8.45,3.88,0.83,7,4,12,0.636,250.1
117,Houston Astros,2026,5.97,1.65,9.45,5.61,1.53,6,1,12,0.857,253.1
118,Kansas City Royals,2026,4.62,1.4,8.77,4.48,1.27,8,6,14,0.571,247.1
119,Los Angeles Dodgers,2026,3.27,1.11,8.82,3.06,0.88,7,5,16,0.583,256.0
120,Washington Nationals,2026,5.24,1.48,7.87,4.04,1.64,6,10,16,0.375,263.0
121,New York Mets,2026,4.01,1.29,9.1,3.62,0.93,2,4,9,0.333,251.1
133,Athletics,2026,4.42,1.44,8.11,4.6,1.18,9,8,22,0.529,250.2
134,Pittsburgh Pirates,2026,3.36,1.22,9.09,3.8,0.71,5,8,24,0.385,265.1
135,San Diego Padres,2026,4.07,1.29,9.0,3.31,0.79,12,6,23,0.667,250.0
136,Seattle Mariners,2026,3.78,1.26,8.14,2.57,0.98,8,4,14,0.667,266.1
137,San Francisco Giants,2026,3.83,1.29,8.6,3.9,0.98,6,3,17,0.667,249.0
138,St. Louis Cardinals,2026,4.77,1.42,6.72,3.81,1.14,10,6,20,0.625,253.0
139,Tampa Bay Rays,2026,4.28,1.24,8.03,3.57,1.32,11,4,19,0.733,252.1
140,Texas Rangers,2026,3.6,1.25,9.08,3.36,1.24,7,3,21,0.7,254.2
141,Toronto Blue Jays,2026,4.47,1.33,9.84,3.5,1.15,6,7,20,0.462,249.2
142,Minnesota Twins,2026,4.3,1.36,8.18,3.7,0.82,5,3,19,0.625,253.0
143,Philadelphia Phillies,2026,5.13,1.52,9.35,3.27,1.13,5,2,10,0.714,247.1
144,Atlanta Braves,2026,3.13,1.12,8.44,3.13,0.97,11,1,17,0.917,259.0
145,Chicago White Sox,2026,4.68,1.45,7.82,4.72,1.01,9,9,12,0.5,257.2
146,Miami Marlins,2026,4.08,1.28,8.83,3.94,0.96,8,6,16,0.571,253.2
147,New York Yankees,2026,3.18,1.13,8.77,2.69,0.91,8,5,12,0.615,257.2
158,Milwaukee Brewers,2026,3.82,1.3,9.36,3.74,0.9,8,5,16,0.615,240.1
