season,player_id,player_name,split,games_started,era,whip,innings_pitched,strikeouts,walks,home_runs_allowed,k_per_9,bb_per_9,fip,timestamp
2023,671212,Joe Boyle,Home Games,2,0.00,1.00,9.0,9.0,3.0,0.0,9.00,3.00,2.100,2026-04-15 06:15:58
2023,605488,Jeffrey Springs,Home Games,3,0.56,0.50,16.0,24.0,4.0,1.0,13.50,2.25,1.663,2026-04-15 06:15:58
2023,663474,Triston Mckenzie,Away Games,2,0.96,0.86,9.1,11.0,4.0,0.0,10.88,3.96,2.001,2026-04-15 06:15:58
2023,542888,Shawn Armstrong,Away Games,2,1.01,0.71,26.2,26.0,8.0,0.0,8.93,2.75,2.031,2026-04-15 06:15:58
2023,622766,Miguel Díaz,Away Games,3,1.08,1.20,8.1,12.0,5.0,0.0,13.33,5.56,1.989,2026-04-15 06:15:58
2023,657571,Caleb Ferguson,Home Games,3,1.10,0.92,32.2,42.0,8.0,2.0,11.74,2.24,2.044,2026-04-15 06:15:58
2023,605540,Brandon Woodruff,Home Games,5,1.15,0.83,31.1,37.0,6.0,4.0,10.71,1.74,2.971,2026-04-15 06:15:58
2023,669373,Tarik Skubal,Home Games,8,1.37,0.79,39.1,59.0,7.0,2.0,13.58,1.61,1.284,2026-04-15 06:15:58
2023,607644,John Means,Away Games,2,1.46,0.73,12.1,5.0,4.0,1.0,3.72,2.98,4.340,2026-04-15 06:15:58
2023,477132,Clayton Kershaw,Home Games,10,1.58,0.84,57.0,64.0,11.0,8.0,10.11,1.74,3.258,2026-04-15 06:15:58
2023,608331,Max Fried,Away Games,9,1.71,0.95,47.1,56.0,9.0,3.0,10.70,1.72,2.123,2026-04-15 06:15:58
2023,542888,Shawn Armstrong,Home Games,4,1.78,1.11,25.1,28.0,3.0,2.0,10.04,1.08,2.263,2026-04-15 06:15:58
2023,657514,Brennan Bernardino,Away Games,2,1.80,0.96,25.0,26.0,7.0,1.0,9.36,2.52,2.380,2026-04-15 06:15:58
2023,687830,Sawyer Gipson-Long,Away Games,2,1.80,1.20,10.0,15.0,6.0,1.0,13.50,5.40,3.200,2026-04-15 06:15:58
2023,658648,Pedro Avila,Home Games,2,1.90,1.44,23.2,23.0,15.0,1.0,8.92,5.82,3.617,2026-04-15 06:15:58
2023,502171,Alex Cobb,Home Games,12,1.95,1.04,74.0,60.0,15.0,6.0,7.30,1.82,3.141,2026-04-15 06:15:58
2023,691587,Eury Pérez,Home Games,9,1.97,0.96,45.2,57.0,13.0,6.0,11.35,2.59,3.166,2026-04-15 06:15:58
2023,669160,Dustin May,Away Games,4,1.99,0.84,22.2,20.0,10.0,0.0,8.11,4.05,2.650,2026-04-15 06:15:58
2023,605483,Blake Snell,Away Games,16,1.99,1.21,90.2,112.0,52.0,7.0,11.18,5.19,3.355,2026-04-15 06:15:58
2023,650911,Cristopher Sánchez,Away Games,5,2.08,0.88,26.0,18.0,4.0,2.0,6.23,1.38,3.177,2026-04-15 06:15:58
2023,676440,Tanner Bibee,Home Games,12,2.11,1.05,68.1,67.0,22.0,2.0,8.85,2.91,2.483,2026-04-15 06:15:58
2023,621366,Ryan Borucki,Away Games,2,2.18,0.63,20.2,22.0,1.0,2.0,9.80,0.45,2.357,2026-04-15 06:15:58
2023,642216,Allan Winans,Away Games,3,2.20,1.29,16.1,20.0,5.0,0.0,11.18,2.80,1.547,2026-04-15 06:15:58
2023,680694,Kyle Bradish,Home Games,13,2.23,0.95,76.2,66.0,19.0,6.0,7.80,2.24,3.139,2026-04-15 06:15:58
2023,666157,Nick Lodolo,Away Games,2,2.25,0.83,12.0,19.0,2.0,2.0,14.25,1.50,2.600,2026-04-15 06:15:58
2023,681190,Randy Vásquez,Home Games,3,2.25,1.30,20.0,17.0,11.0,2.0,7.65,4.95,4.350,2026-04-15 06:15:58
2023,657277,Logan Webb,Home Games,16,2.26,0.98,111.2,100.0,15.0,8.0,8.09,1.21,2.641,2026-04-15 06:15:58
2023,608638,Jt Chargois,Home Games,3,2.31,1.11,23.1,24.0,11.0,1.0,9.35,4.29,3.013,2026-04-15 06:15:58
2023,650633,Michael King,Away Games,6,2.31,1.05,58.1,64.0,17.0,6.0,9.91,2.63,3.117,2026-04-15 06:15:58
2023,572971,Dallas Keuchel,Home Games,4,2.33,1.26,27.0,17.0,10.0,0.0,5.67,3.33,2.952,2026-04-15 06:15:58
2023,543037,Gerrit Cole,Away Games,15,2.34,0.96,96.1,93.0,21.0,7.0,8.71,1.97,2.767,2026-04-15 06:15:58
2023,671131,Jackson Rutledge,Home Games,2,2.38,1.06,11.1,6.0,3.0,2.0,4.86,2.43,5.172,2026-04-15 06:15:58
2023,676684,Will Vest,Away Games,2,2.39,1.14,26.1,33.0,8.0,2.0,11.38,2.76,2.487,2026-04-15 06:15:58
2023,650644,Aaron Civale,Away Games,12,2.40,1.17,60.0,50.0,16.0,7.0,7.50,2.40,3.750,2026-04-15 06:15:58
2023,673540,Kodai Senga,Home Games,16,2.42,1.08,93.0,124.0,41.0,8.0,12.00,3.97,2.874,2026-04-15 06:15:58
