season,player_id,player_name,team_id,team_name,games_played,games_started,wins,losses,era,whip,innings_pitched,hits_allowed,runs_allowed,earned_runs,home_runs_allowed,strikeouts,walks,k_per_9,bb_per_9,hr_per_9,fip,win_pct,timestamp
2023,605488,Jeffrey Springs,139,Tampa Bay Rays,3,3,2.0,0.0,0.56,0.50,16.0,4,1,1,1.0,24.0,4.0,13.50,2.25,0.56,1.663,1.000,2026-04-15 06:15:55
2023,622766,Miguel Díaz,116,Detroit Tigers,12,3,1.0,0.0,0.64,0.93,14.0,8,1,1,0.0,16.0,5.0,10.29,3.21,0.00,1.886,1.000,2026-04-15 06:15:55
2023,542888,Shawn Armstrong,139,Tampa Bay Rays,39,6,1.0,0.0,1.38,0.90,52.0,36,12,8,2.0,54.0,11.0,9.35,1.90,0.35,2.158,1.000,2026-04-15 06:15:55
2023,671212,Joe Boyle,133,Oakland Athletics,3,3,2.0,0.0,1.69,0.81,16.0,8,4,3,1.0,15.0,5.0,8.44,2.81,0.56,2.975,1.000,2026-04-15 06:15:55
2023,686752,Ryan Pepiot,119,Los Angeles Dodgers,8,3,2.0,1.0,2.14,0.76,42.0,27,10,10,7.0,38.0,5.0,8.14,1.07,1.50,3.814,0.667,2026-04-15 06:15:55
2023,605483,Blake Snell,135,San Diego Padres,32,32,14.0,9.0,2.25,1.19,180.0,115,47,45,15.0,234.0,99.0,11.70,4.95,0.75,3.233,0.609,2026-04-15 06:15:55
2023,605540,Brandon Woodruff,158,Milwaukee Brewers,11,11,5.0,1.0,2.28,0.82,67.0,40,17,17,9.0,74.0,15.0,9.94,2.01,1.21,3.309,0.833,2026-04-15 06:15:55
2023,477132,Clayton Kershaw,119,Los Angeles Dodgers,24,24,13.0,5.0,2.46,1.06,131.2,100,39,36,19.0,137.0,40.0,9.40,2.74,1.30,3.809,0.722,2026-04-15 06:15:55
2023,608331,Max Fried,144,Atlanta Braves,14,14,8.0,1.0,2.55,1.13,77.2,70,24,22,7.0,80.0,18.0,9.33,2.10,0.82,2.906,0.889,2026-04-15 06:15:55
2023,656876,Drew Rasmussen,139,Tampa Bay Rays,8,8,4.0,2.0,2.62,1.05,44.2,36,13,13,2.0,47.0,11.0,9.57,2.24,0.41,2.308,0.667,2026-04-15 06:15:55
2023,669160,Dustin May,119,Los Angeles Dodgers,9,9,4.0,1.0,2.63,0.94,48.0,29,14,14,1.0,34.0,16.0,6.38,3.00,0.19,2.954,0.800,2026-04-15 06:15:55
