record_type,game_id,game_date,game_time_utc,status,away_team,away_team_id,away_probable_pitcher,home_team,home_team_id,home_probable_pitcher,venue,timestamp
schedule,824853,2026-04-14,2026-04-14T22:35:00Z,Final,Arizona Diamondbacks,109,Merrill Kelly,Baltimore Orioles,110,Trevor Rogers,Oriole Park at Camden Yards,2026-04-14 22:09:08
schedule,824292,2026-04-14,2026-04-14T22:40:00Z,Final,Kansas City Royals,118,Cole Ragans,Detroit Tigers,116,Framber Valdez,Comerica Park,2026-04-14 22:09:08
schedule,823398,2026-04-14,2026-04-14T22:40:00Z,Final,Washington Nationals,120,Pj Poulin,Pittsburgh Pirates,134,Mitch Keller,PNC Park,2026-04-14 22:09:08
schedule,824531,2026-04-14,2026-04-14T22:40:00Z,Final,San Francisco Giants,137,Robbie Ray,Cincinnati Reds,113,Brady Singer,Great American Ball Park,2026-04-14 22:09:08
schedule,823478,2026-04-14,2026-04-14T22:40:00Z,Final,Chicago Cubs,112,Riley Martin,Philadelphia Phillies,143,Aaron Nola,Citizens Bank Park,2026-04-14 22:09:08
schedule,823562,2026-04-14,2026-04-14T23:05:00Z,Final,Los Angeles Angels,108,Reid Detmers,New York Yankees,147,Ryan Weathers,Yankee Stadium,2026-04-14 22:09:08
schedule,824935,2026-04-14,2026-04-14T23:15:00Z,Final,Miami Marlins,146,Max Meyer,Atlanta Braves,144,Reynaldo López,Truist Park,2026-04-14 22:09:08
schedule,823723,2026-04-14,2026-04-14T23:40:00Z,Live,Boston Red Sox,111,Sonny Gray,Minnesota Twins,142,Mick Abel,Target Field,2026-04-14 22:09:08
schedule,824616,2026-04-14,2026-04-14T23:40:00Z,Live,Tampa Bay Rays,139,Shane Mcclanahan,Chicago White Sox,145,Noah Schultz,Rate Field,2026-04-14 22:09:08
schedule,823802,2026-04-14,2026-04-14T23:40:00Z,Live,Toronto Blue Jays,141,Kevin Gausman,Milwaukee Brewers,158,Jacob Misiorowski,American Family Field,2026-04-14 22:09:08
schedule,823072,2026-04-14,2026-04-14T23:45:00Z,Live,Cleveland Guardians,114,Joey Cantillo,St. Louis Cardinals,138,Michael Mcgreevy,Busch Stadium,2026-04-14 22:09:08
schedule,824210,2026-04-14,2026-04-15T00:10:00Z,Live,Colorado Rockies,115,Michael Lorenzen,Houston Astros,117,Colton Gordon,Daikin Park,2026-04-14 22:09:08
schedule,823315,2026-04-14,2026-04-15T01:40:00Z,Live,Seattle Mariners,136,Bryan Woo,San Diego Padres,135,Michael King,Petco Park,2026-04-14 22:09:08
schedule,825022,2026-04-14,2026-04-15T01:40:00Z,Live,Texas Rangers,140,Mackenzie Gore,Athletics,133,Jeffrey Springs,Sutter Health Park,2026-04-14 22:09:08
schedule,823965,2026-04-14,2026-04-15T02:10:00Z,Live,New York Mets,121,Nolan Mclean,Los Angeles Dodgers,119,Yoshinobu Yamamoto,UNIQLO Field at Dodger Stadium,2026-04-14 22:09:08
schedule,824855,2026-04-15,2026-04-15T16:35:00Z,Preview,Arizona Diamondbacks,109,Eduardo Rodriguez,Baltimore Orioles,110,Kyle Bradish,Oriole Park at Camden Yards,2026-04-14 22:09:08
schedule,823071,2026-04-15,2026-04-15T17:15:00Z,Preview,Cleveland Guardians,114,Slade Cecconi,St. Louis Cardinals,138,Dustin May,Busch Stadium,2026-04-14 22:09:08
schedule,823722,2026-04-15,2026-04-15T17:40:00Z,Preview,Boston Red Sox,111,Connelly Early,Minnesota Twins,142,Simeon Woods Richardson,Target Field,2026-04-14 22:09:08
schedule,824291,2026-04-15,2026-04-15T22:40:00Z,Preview,Kansas City Royals,118,Seth Lugo,Detroit Tigers,116,Jack Flaherty,Comerica Park,2026-04-14 22:09:08
schedule,823399,2026-04-15,2026-04-15T22:40:00Z,Preview,Washington Nationals,120,Jake Irvin,Pittsburgh Pirates,134,,PNC Park,2026-04-14 22:09:08
schedule,824532,2026-04-15,2026-04-15T22:40:00Z,Preview,San Francisco Giants,137,Tyler Mahle,Cincinnati Reds,113,Rhett Lowder,Great American Ball Park,2026-04-14 22:09:08
schedule,823477,2026-04-15,2026-04-15T22:40:00Z,Preview,Chicago Cubs,112,Shota Imanaga,Philadelphia Phillies,143,Jesús Luzardo,Citizens Bank Park,2026-04-14 22:09:08
schedule,823561,2026-04-15,2026-04-15T23:05:00Z,Preview,Los Angeles Angels,108,,New York Yankees,147,Luis Gil,Yankee Stadium,2026-04-14 22:09:08
schedule,824936,2026-04-15,2026-04-15T23:15:00Z,Preview,Miami Marlins,146,Chris Paddack,Atlanta Braves,144,Bryce Elder,Truist Park,2026-04-14 22:09:08
schedule,824615,2026-04-15,2026-04-15T23:40:00Z,Preview,Tampa Bay Rays,139,Jesse Scholtens,Chicago White Sox,145,Sean Burke,Rate Field,2026-04-14 22:09:08
schedule,823803,2026-04-15,2026-04-15T23:40:00Z,Preview,Toronto Blue Jays,141,Dylan Cease,Milwaukee Brewers,158,Chad Patrick,American Family Field,2026-04-14 22:09:08
schedule,824209,2026-04-15,2026-04-16T00:10:00Z,Preview,Colorado Rockies,115,,Houston Astros,117,,Daikin Park,2026-04-14 22:09:08
schedule,823314,2026-04-15,2026-04-16T01:40:00Z,Preview,Seattle Mariners,136,Emerson Hancock,San Diego Padres,135,Randy Vásquez,Petco Park,2026-04-14 22:09:08
schedule,825021,2026-04-15,2026-04-16T01:40:00Z,Preview,Texas Rangers,140,Kumar Rocker,Athletics,133,J.T. Ginn,Sutter Health Park,2026-04-14 22:09:08
schedule,823963,2026-04-15,2026-04-16T02:10:00Z,Preview,New York Mets,121,Clay Holmes,Los Angeles Dodgers,119,Shohei Ohtani,UNIQLO Field at Dodger Stadium,2026-04-14 22:09:08
schedule,823396,2026-04-16,2026-04-16T16:35:00Z,Preview,Washington Nationals,120,Foster Griffin,Pittsburgh Pirates,134,,PNC Park,2026-04-14 22:09:08
schedule,824530,2026-04-16,2026-04-16T16:40:00Z,Preview,San Francisco Giants,137,Landen Roupp,Cincinnati Reds,113,Chase Burns,Great American Ball Park,2026-04-14 22:09:08
schedule,824289,2026-04-16,2026-04-16T17:10:00Z,Preview,Kansas City Royals,118,Kris Bubic,Detroit Tigers,116,Keider Montero,Comerica Park,2026-04-14 22:09:08
schedule,823560,2026-04-16,2026-04-16T17:35:00Z,Preview,Los Angeles Angels,108,,New York Yankees,147,Max Fried,Yankee Stadium,2026-04-14 22:09:08
schedule,823801,2026-04-16,2026-04-16T17:40:00Z,Preview,Toronto Blue Jays,141,Patrick Corbin,Milwaukee Brewers,158,Brandon Sproat,American Family Field,2026-04-14 22:09:08
