season,team_id,team_name,games_played,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts,batting_avg,obp,slg,ops,runs_per_game,k_rate,bb_rate,timestamp
2023,144,Atlanta Braves,162,947,1543,293,23,307,916,538,1289,.276,.344,.501,.845,5.846,0.206,0.086,2026-04-15 06:16:06
2023,140,Texas Rangers,162,881,1470,326,18,233,845,599,1416,.263,.337,.452,.789,5.438,0.225,0.095,2026-04-15 06:16:06
2023,139,Tampa Bay Rays,162,860,1432,282,24,230,827,514,1420,.260,.331,.445,.776,5.309,0.231,0.083,2026-04-15 06:16:06
2023,146,Miami Marlins,162,666,1423,258,23,166,633,430,1287,.259,.316,.405,.721,4.111,0.214,0.071,2026-04-15 06:16:06
2023,117,Houston Astros,162,827,1441,280,22,222,799,550,1241,.259,.331,.437,.768,5.105,0.199,0.088,2026-04-15 06:16:06
2023,111,Boston Red Sox,162,772,1437,339,19,182,734,486,1372,.258,.324,.424,.748,4.765,0.223,0.079,2026-04-15 06:16:06
2023,119,Los Angeles Dodgers,162,906,1422,303,20,249,877,644,1359,.257,.340,.455,.795,5.593,0.215,0.102,2026-04-15 06:16:06
2023,141,Toronto Blue Jays,162,746,1423,292,19,188,705,550,1303,.256,.329,.417,.746,4.605,0.210,0.089,2026-04-15 06:16:06
2023,143,Philadelphia Phillies,162,796,1417,291,29,220,771,539,1481,.256,.327,.438,.765,4.914,0.239,0.087,2026-04-15 06:16:06
2023,110,Baltimore Orioles,162,807,1399,309,28,183,780,512,1370,.255,.321,.421,.742,4.981,0.225,0.084,2026-04-15 06:16:06
2023,112,Chicago Cubs,162,819,1399,269,30,196,786,570,1391,.254,.330,.421,.751,5.056,0.224,0.092,2026-04-15 06:16:06
2023,120,Washington Nationals,162,700,1401,279,26,151,665,423,1149,.254,.314,.396,.710,4.321,0.190,0.070,2026-04-15 06:16:06
2023,114,Cleveland Guardians,162,662,1379,294,29,124,622,471,1142,.250,.313,.381,.694,4.086,0.188,0.077,2026-04-15 06:16:06
2023,109,Arizona Diamondbacks,162,746,1359,274,44,166,706,540,1247,.250,.322,.408,.730,4.605,0.205,0.089,2026-04-15 06:16:06
2023,138,St. Louis Cardinals,162,719,1376,264,12,209,697,570,1326,.250,.326,.416,.742,4.438,0.214,0.092,2026-04-15 06:16:06
2023,113,Cincinnati Reds,162,783,1371,268,37,198,747,556,1500,.249,.327,.420,.747,4.833,0.243,0.090,2026-04-15 06:16:06
2023,115,Colorado Rockies,162,721,1368,305,31,163,685,447,1543,.249,.310,.405,.715,4.451,0.255,0.074,2026-04-15 06:16:06
2023,108,Los Angeles Angels,162,739,1346,248,26,231,708,518,1524,.245,.317,.426,.743,4.562,0.249,0.084,2026-04-15 06:16:06
2023,118,Kansas City Royals,162,676,1325,258,43,163,651,411,1396,.244,.303,.398,.701,4.173,0.234,0.069,2026-04-15 06:16:06
2023,135,San Diego Padres,162,752,1316,273,14,205,719,653,1311,.244,.329,.413,.742,4.642,0.213,0.106,2026-04-15 06:16:06
2023,142,Minnesota Twins,162,778,1336,264,24,233,745,594,1654,.243,.326,.428,.754,4.802,0.266,0.096,2026-04-15 06:16:06
2023,136,Seattle Mariners,162,758,1332,283,12,210,728,548,1603,.242,.321,.413,.734,4.679,0.259,0.088,2026-04-15 06:16:06
2023,158,Milwaukee Brewers,162,728,1290,257,16,165,696,591,1412,.240,.319,.385,.704,4.494,0.232,0.097,2026-04-15 06:16:06
2023,134,Pittsburgh Pirates,162,692,1293,287,31,159,662,556,1464,.239,.315,.392,.707,4.272,0.241,0.092,2026-04-15 06:16:06
2023,121,New York Mets,162,717,1276,221,21,215,692,525,1331,.238,.316,.407,.723,4.426,0.221,0.087,2026-04-15 06:16:06
2023,145,Chicago White Sox,162,641,1308,264,13,171,617,377,1424,.238,.291,.384,.675,3.957,0.239,0.063,2026-04-15 06:16:06
2023,116,Detroit Tigers,162,661,1292,245,29,165,635,508,1473,.236,.305,.382,.687,4.080,0.243,0.084,2026-04-15 06:16:06
2023,137,San Francisco Giants,162,674,1271,256,13,174,651,544,1492,.235,.312,.383,.695,4.160,0.246,0.090,2026-04-15 06:16:06
2023,147,New York Yankees,162,673,1207,221,15,219,650,557,1427,.227,.304,.397,.701,4.154,0.239,0.093,2026-04-15 06:16:06
2023,133,Oakland Athletics,162,585,1187,225,21,171,563,498,1496,.223,.298,.370,.668,3.611,0.252,0.084,2026-04-15 06:16:06
2024,135,San Diego Padres,162,760,1456,259,18,190,726,458,1077,.263,.324,.420,.744,4.691,0.177,0.075,2026-04-15 06:16:07
2024,109,Arizona Diamondbacks,162,886,1452,271,37,211,845,569,1265,.263,.337,.440,.777,5.469,0.203,0.091,2026-04-15 06:16:07
2024,117,Houston Astros,161,740,1448,264,16,190,701,448,1176,.262,.322,.418,.740,4.596,0.193,0.074,2026-04-15 06:16:07
2024,119,Los Angeles Dodgers,162,842,1423,291,26,233,815,602,1336,.258,.335,.446,.781,5.198,0.214,0.096,2026-04-15 06:16:07
2024,143,Philadelphia Phillies,162,784,1423,285,24,198,750,515,1370,.257,.325,.425,.750,4.840,0.223,0.084,2026-04-15 06:16:07
2024,111,Boston Red Sox,162,751,1404,311,30,194,724,493,1570,.252,.319,.423,.742,4.636,0.254,0.080,2026-04-15 06:16:07
2024,110,Baltimore Orioles,162,786,1391,262,33,235,759,489,1359,.250,.315,.435,.750,4.852,0.220,0.079,2026-04-15 06:16:07
2024,158,Milwaukee Brewers,162,777,1359,249,33,177,742,597,1459,.248,.326,.403,.729,4.796,0.237,0.097,2026-04-15 06:16:07
2024,147,New York Yankees,162,815,1352,243,15,237,782,672,1326,.248,.333,.429,.762,5.031,0.213,0.108,2026-04-15 06:16:07
2024,118,Kansas City Royals,162,735,1343,264,35,170,711,429,1161,.248,.306,.403,.709,4.537,0.195,0.072,2026-04-15 06:16:07
2024,138,St. Louis Cardinals,162,672,1363,257,21,165,639,478,1318,.248,.312,.392,.704,4.148,0.216,0.079,2026-04-15 06:16:07
2024,121,New York Mets,162,768,1357,279,15,207,735,514,1382,.246,.319,.415,.734,4.741,0.225,0.084,2026-04-15 06:16:07
2024,142,Minnesota Twins,162,742,1352,309,23,183,702,473,1306,.246,.315,.411,.726,4.580,0.214,0.077,2026-04-15 06:16:07
2024,146,Miami Marlins,162,637,1347,243,23,150,611,403,1410,.244,.300,.378,.678,3.932,0.234,0.067,2026-04-15 06:16:07
2024,144,Atlanta Braves,162,704,1333,273,15,213,674,485,1461,.243,.309,.415,.724,4.346,0.241,0.080,2026-04-15 06:16:07
2024,120,Washington Nationals,162,660,1306,267,18,135,621,456,1220,.243,.309,.375,.684,4.074,0.205,0.077,2026-04-15 06:16:07
2024,112,Chicago Cubs,162,736,1318,253,29,170,696,546,1362,.242,.317,.393,.710,4.543,0.223,0.090,2026-04-15 06:16:07
2024,115,Colorado Rockies,162,682,1319,277,25,179,655,453,1617,.242,.304,.400,.704,4.210,0.269,0.075,2026-04-15 06:16:07
2024,141,Toronto Blue Jays,162,671,1306,280,26,156,640,510,1233,.241,.313,.389,.702,4.142,0.204,0.084,2026-04-15 06:16:07
2024,137,San Francisco Giants,162,693,1303,266,30,177,661,492,1452,.239,.305,.396,.701,4.278,0.240,0.081,2026-04-15 06:16:07
2024,140,Texas Rangers,162,683,1302,220,15,176,652,490,1284,.238,.305,.380,.685,4.216,0.212,0.081,2026-04-15 06:16:07
2024,114,Cleveland Guardians,161,708,1263,245,18,185,670,466,1196,.238,.307,.395,.702,4.398,0.203,0.079,2026-04-15 06:16:07
2024,134,Pittsburgh Pirates,162,665,1283,236,17,160,643,485,1506,.234,.301,.371,.672,4.105,0.248,0.080,2026-04-15 06:16:07
2024,116,Detroit Tigers,162,682,1273,244,47,162,656,476,1461,.234,.300,.385,.685,4.210,0.243,0.079,2026-04-15 06:16:07
2024,133,Oakland Athletics,162,643,1267,240,19,196,619,493,1502,.233,.301,.393,.694,3.969,0.250,0.082,2026-04-15 06:16:07
2024,113,Cincinnati Reds,162,699,1230,257,29,174,663,496,1459,.231,.305,.388,.693,4.315,0.245,0.083,2026-04-15 06:16:07
2024,139,Tampa Bay Rays,162,604,1241,245,23,147,564,493,1485,.230,.302,.366,.668,3.728,0.248,0.082,2026-04-15 06:16:07
2024,108,Los Angeles Angels,162,635,1227,227,15,165,596,482,1416,.229,.301,.369,.670,3.920,0.238,0.081,2026-04-15 06:16:07
2024,136,Seattle Mariners,162,676,1195,228,13,185,642,571,1625,.224,.311,.376,.687,4.173,0.269,0.094,2026-04-15 06:16:07
2024,145,Chicago White Sox,162,507,1187,226,9,133,485,395,1403,.221,.278,.340,.618,3.130,0.240,0.068,2026-04-15 06:16:07
2025,141,Toronto Blue Jays,162,798,1461,294,13,191,771,520,1099,.265,.333,.427,.760,4.926,0.179,0.085,2026-04-15 06:16:08
