season,team_id,team_name,games_played,era,whip,strikeouts,walks,home_runs_allowed,runs_allowed,earned_runs,innings_pitched,k_per_9,bb_per_9,timestamp
2023,158,Milwaukee Brewers,162,3.71,1.19,1425,493,198,647,595,1443.0,8.89,3.07,2026-04-15 06:16:06
2023,135,San Diego Padres,162,3.73,1.27,1445,557,174,648,598,1441.0,9.02,3.48,2026-04-15 06:16:06
2023,136,Seattle Mariners,162,3.74,1.19,1459,421,184,659,602,1449.1,9.06,2.61,2026-04-15 06:16:06
2023,141,Toronto Blue Jays,162,3.78,1.25,1528,488,198,671,610,1451.2,9.48,3.03,2026-04-15 06:16:06
2023,139,Tampa Bay Rays,162,3.86,1.18,1507,439,177,665,618,1442.0,9.41,2.74,2026-04-15 06:16:06
2023,142,Minnesota Twins,162,3.87,1.20,1560,443,194,659,624,1451.1,9.68,2.75,2026-04-15 06:16:06
2023,110,Baltimore Orioles,162,3.89,1.24,1431,473,177,678,629,1453.2,8.86,2.93,2026-04-15 06:16:06
2023,117,Houston Astros,162,3.94,1.28,1460,537,201,698,632,1445.1,9.09,3.34,2026-04-15 06:16:06
2023,114,Cleveland Guardians,162,3.96,1.31,1311,534,173,697,635,1444.0,8.17,3.33,2026-04-15 06:16:06
2023,147,New York Yankees,162,3.97,1.24,1439,508,195,698,635,1439.2,9.00,3.18,2026-04-15 06:16:06
2023,137,San Francisco Giants,162,4.02,1.25,1359,403,173,719,641,1434.2,8.53,2.53,2026-04-15 06:16:06
2023,143,Philadelphia Phillies,162,4.03,1.24,1454,470,185,715,646,1442.1,9.07,2.93,2026-04-15 06:16:06
2023,119,Los Angeles Dodgers,162,4.06,1.20,1388,454,200,699,652,1446.1,8.64,2.83,2026-04-15 06:16:06
2023,112,Chicago Cubs,162,4.08,1.28,1377,513,179,723,651,1435.1,8.64,3.22,2026-04-15 06:16:06
2023,144,Atlanta Braves,162,4.14,1.30,1516,534,187,716,662,1440.0,9.47,3.34,2026-04-15 06:16:06
2023,146,Miami Marlins,162,4.21,1.29,1490,514,191,723,672,1435.1,9.34,3.22,2026-04-15 06:16:06
2023,116,Detroit Tigers,162,4.24,1.25,1374,476,187,740,680,1442.1,8.57,2.97,2026-04-15 06:16:06
2023,140,Texas Rangers,162,4.28,1.27,1351,491,198,716,683,1436.1,8.47,3.08,2026-04-15 06:16:06
2023,121,New York Mets,162,4.30,1.36,1397,595,190,729,676,1416.1,8.88,3.78,2026-04-15 06:16:06
2023,109,Arizona Diamondbacks,162,4.48,1.32,1351,525,197,761,714,1435.1,8.47,3.29,2026-04-15 06:16:06
2023,111,Boston Red Sox,162,4.52,1.34,1423,497,208,776,718,1430.0,8.96,3.13,2026-04-15 06:16:06
2023,134,Pittsburgh Pirates,162,4.60,1.38,1363,596,179,790,731,1430.0,8.58,3.75,2026-04-15 06:16:06
2023,108,Los Angeles Angels,162,4.64,1.42,1445,636,209,829,738,1431.2,9.09,4.00,2026-04-15 06:16:06
2023,138,St. Louis Cardinals,162,4.79,1.46,1215,530,179,829,760,1428.1,7.66,3.34,2026-04-15 06:16:06
2023,113,Cincinnati Reds,162,4.83,1.42,1381,613,222,821,772,1439.1,8.64,3.83,2026-04-15 06:16:06
2023,145,Chicago White Sox,162,4.87,1.42,1470,654,214,841,774,1431.2,9.24,4.11,2026-04-15 06:16:06
2023,120,Washington Nationals,162,5.02,1.47,1225,592,245,845,797,1428.1,7.72,3.73,2026-04-15 06:16:06
2023,118,Kansas City Royals,162,5.17,1.41,1270,553,207,859,809,1409.0,8.11,3.53,2026-04-15 06:16:06
2023,133,Oakland Athletics,162,5.48,1.52,1300,694,213,924,865,1419.2,8.24,4.40,2026-04-15 06:16:06
2023,115,Colorado Rockies,162,5.67,1.55,1129,586,234,957,891,1414.0,7.19,3.73,2026-04-15 06:16:06
2024,144,Atlanta Braves,162,3.49,1.20,1553,449,150,607,559,1443.1,9.69,2.80,2026-04-15 06:16:08
2024,136,Seattle Mariners,162,3.49,1.08,1416,369,183,607,556,1433.0,8.89,2.32,2026-04-15 06:16:08
2024,114,Cleveland Guardians,161,3.61,1.20,1410,492,179,621,572,1428.0,8.89,3.10,2026-04-15 06:16:08
2024,116,Detroit Tigers,162,3.61,1.16,1354,416,159,642,581,1447.0,8.42,2.59,2026-04-15 06:16:08
2024,158,Milwaukee Brewers,162,3.65,1.23,1373,494,196,641,586,1446.0,8.55,3.07,2026-04-15 06:16:08
2024,117,Houston Astros,161,3.74,1.24,1479,544,183,649,595,1432.0,9.30,3.42,2026-04-15 06:16:08
2024,147,New York Yankees,162,3.74,1.24,1457,533,181,668,604,1452.2,9.03,3.30,2026-04-15 06:16:08
2024,118,Kansas City Royals,162,3.76,1.24,1339,472,146,644,596,1428.0,8.44,2.97,2026-04-15 06:16:08
2024,139,Tampa Bay Rays,162,3.77,1.20,1406,445,196,663,604,1440.2,8.79,2.78,2026-04-15 06:16:08
2024,112,Chicago Cubs,162,3.78,1.25,1348,485,181,669,602,1432.1,8.47,3.05,2026-04-15 06:16:08
2024,143,Philadelphia Phillies,162,3.85,1.24,1433,444,181,671,617,1442.2,8.94,2.77,2026-04-15 06:16:08
2024,135,San Diego Padres,162,3.86,1.22,1453,462,169,669,617,1439.1,9.09,2.89,2026-04-15 06:16:08
2024,119,Los Angeles Dodgers,162,3.90,1.23,1390,501,198,686,626,1445.2,8.66,3.12,2026-04-15 06:16:08
2024,110,Baltimore Orioles,162,3.94,1.24,1380,481,175,699,632,1442.0,8.61,3.00,2026-04-15 06:16:08
2024,121,New York Mets,162,3.96,1.26,1455,586,165,697,634,1442.1,9.08,3.66,2026-04-15 06:16:08
2024,138,St. Louis Cardinals,162,4.04,1.26,1308,454,174,719,648,1444.0,8.15,2.83,2026-04-15 06:16:08
2024,111,Boston Red Sox,162,4.04,1.26,1353,461,189,747,652,1452.2,8.39,2.86,2026-04-15 06:16:08
2024,113,Cincinnati Reds,162,4.09,1.25,1370,487,196,694,649,1428.0,8.63,3.07,2026-04-15 06:16:08
2024,137,San Francisco Giants,162,4.10,1.30,1436,526,153,699,653,1433.2,9.02,3.30,2026-04-15 06:16:08
2024,134,Pittsburgh Pirates,162,4.15,1.31,1356,515,166,739,664,1438.2,8.49,3.22,2026-04-15 06:16:08
2024,142,Minnesota Twins,162,4.26,1.23,1500,433,190,735,682,1440.1,9.37,2.71,2026-04-15 06:16:08
2024,141,Toronto Blue Jays,162,4.29,1.27,1314,503,208,743,681,1427.1,8.29,3.17,2026-04-15 06:16:08
2024,120,Washington Nationals,162,4.30,1.33,1314,473,168,764,685,1434.0,8.25,2.97,2026-04-15 06:16:08
2024,140,Texas Rangers,162,4.35,1.30,1371,530,198,738,690,1427.2,8.65,3.34,2026-04-15 06:16:08
2024,133,Oakland Athletics,162,4.37,1.33,1263,530,169,764,698,1436.2,7.91,3.32,2026-04-15 06:16:08
2024,108,Los Angeles Angels,162,4.56,1.35,1252,601,202,797,725,1431.0,7.87,3.78,2026-04-15 06:16:08
2024,109,Arizona Diamondbacks,162,4.62,1.35,1313,481,181,788,741,1443.1,8.19,3.00,2026-04-15 06:16:08
2024,145,Chicago White Sox,162,4.67,1.44,1366,643,201,813,737,1420.0,8.66,4.08,2026-04-15 06:16:08
2024,146,Miami Marlins,162,4.73,1.38,1317,556,195,841,755,1437.1,8.25,3.48,2026-04-15 06:16:08
2024,115,Colorado Rockies,162,5.47,1.52,1118,563,221,929,867,1426.2,7.06,3.55,2026-04-15 06:16:08
2025,140,Texas Rangers,162,3.47,1.18,1344,463,172,605,557,1443.0,8.38,2.89,2026-04-15 06:16:09
2025,158,Milwaukee Brewers,162,3.58,1.23,1432,534,168,634,574,1442.0,8.94,3.33,2026-04-15 06:16:09
2025,135,San Diego Padres,162,3.63,1.21,1425,535,178,621,578,1433.0,8.95,3.36,2026-04-15 06:16:09
2025,114,Cleveland Guardians,162,3.70,1.26,1381,527,169,649,593,1442.0,8.62,3.29,2026-04-15 06:16:09
2025,111,Boston Red Sox,162,3.70,1.29,1361,530,164,676,596,1448.1,8.46,3.29,2026-04-15 06:16:09
2025,118,Kansas City Royals,162,3.73,1.24,1271,478,171,637,596,1436.2,7.96,3.00,2026-04-15 06:16:09
2025,134,Pittsburgh Pirates,162,3.76,1.22,1314,473,153,645,598,1430.2,8.27,2.98,2026-04-15 06:16:09
2025,143,Philadelphia Phillies,162,3.79,1.23,1471,435,177,648,607,1440.1,9.19,2.72,2026-04-15 06:16:09
2025,112,Chicago Cubs,162,3.79,1.18,1265,405,202,649,605,1435.0,7.93,2.54,2026-04-15 06:16:09
2025,137,San Francisco Giants,162,3.82,1.30,1358,506,143,684,609,1433.2,8.53,3.18,2026-04-15 06:16:09
2025,117,Houston Astros,162,3.86,1.22,1504,508,199,665,619,1442.0,9.39,3.17,2026-04-15 06:16:09
2025,113,Cincinnati Reds,162,3.86,1.22,1380,494,190,681,616,1435.0,8.66,3.10,2026-04-15 06:16:09
2025,136,Seattle Mariners,162,3.87,1.22,1426,454,192,694,629,1462.2,8.78,2.79,2026-04-15 06:16:09
2025,147,New York Yankees,162,3.91,1.25,1440,557,175,685,625,1439.2,9.01,3.48,2026-04-15 06:16:09
2025,139,Tampa Bay Rays,162,3.94,1.22,1416,474,205,683,627,1431.1,8.91,2.98,2026-04-15 06:16:09
2025,116,Detroit Tigers,162,3.95,1.25,1375,485,187,691,630,1436.1,8.62,3.04,2026-04-15 06:16:09
2025,119,Los Angeles Dodgers,162,3.95,1.26,1505,563,175,683,633,1441.0,9.40,3.52,2026-04-15 06:16:09
2025,121,New York Mets,162,4.03,1.32,1387,556,149,715,641,1432.0,8.72,3.49,2026-04-15 06:16:09
2025,141,Toronto Blue Jays,162,4.19,1.27,1430,517,209,721,669,1438.0,8.95,3.24,2026-04-15 06:16:09
2025,145,Chicago White Sox,162,4.26,1.36,1286,595,189,742,671,1416.0,8.17,3.78,2026-04-15 06:16:09
2025,138,St. Louis Cardinals,162,4.29,1.32,1209,461,170,754,682,1432.0,7.60,2.90,2026-04-15 06:16:09
2025,144,Atlanta Braves,162,4.36,1.31,1416,530,197,734,696,1438.0,8.86,3.32,2026-04-15 06:16:09
2025,109,Arizona Diamondbacks,162,4.49,1.32,1288,500,196,785,721,1444.0,8.03,3.12,2026-04-15 06:16:09
2025,142,Minnesota Twins,162,4.55,1.31,1372,459,194,773,721,1426.2,8.66,2.90,2026-04-15 06:16:09
2025,146,Miami Marlins,162,4.60,1.30,1294,507,199,798,737,1443.1,8.07,3.16,2026-04-15 06:16:09
2025,110,Baltimore Orioles,162,4.60,1.37,1351,523,217,788,733,1432.2,8.49,3.29,2026-04-15 06:16:09
2025,133,Athletics,162,4.70,1.36,1323,570,222,817,750,1437.2,8.28,3.57,2026-04-15 06:16:09
